Country,Region,Overweight in %,Obese in %,Diabetes Prevalence in %,Life Expectancy,Alcoholic beverages,"Amphibians, reptiles, and terrestrial invertebrates",Animal and vegetable fats and oils and primary derivatives thereof,"Coffee, cocoa, tea and infusions",Composite dishes,Eggs and egg products,Fish and seafood,Food products for young population,Fruit and fruit products,Fruit and vegetable juices and nectars (including concentrates),Grains and grain-based products,"Legumes, nuts, oilseeds and spices","Major isolated ingredients, additives, flavours, baking and processing aids",Meat and meat products,Milk and dairy products,"Products for non-standard diets, food imitates and food supplements","Seasoning, sauces and condiments","Starchy roots or tubers and products thereof, sugar plants","Sugar and similar, confectionery and water-based sweet desserts",Vegetables and vegetable products,Water and water-based beverages
Finland,Northern Europe,59.5,21.9,6.1,81.7,96.91384382747484,0.04779200404111446,32.53131988498187,580.5675919185294,19.562480973174274,15.836299459205634,32.43104167154135,0.13190142861658213,174.06581156929315,104.13568699270812,241.76900090515818,9.60373703363954,3.5275087102640654,119.61161795787399,414.443750407243,9.74501564715851,21.724084401200308,76.08031531789902,20.941221831737018,145.55287945965298,929.0475428628758
Latvia,North Eastern Europe,59.2,22.8,5.9,75.9,52.63744801245615,0.0,14.87091601692785,454.45211441501004,116.7345167923029,16.208970708716016,22.587325462779035,0.0,127.59642521986234,39.42793022491572,193.65011905075502,12.749309567183039,0.3468365748256173,162.00656340353484,212.65537995833233,0.8603608087828207,20.626036804960517,107.43770143779584,24.977546895379703,179.15029526842636,366.9726122541013
Romania,South Eastern Europe,58.9,10.1,6.5,76.6,65.13994538833273,0.0,39.32792040280952,181.32317128281548,48.27205251112548,35.76898944066187,19.616929878512316,0.0,165.03641709371132,9.603660756204262,194.23257101247816,16.535241140624166,0.3940585720065372,155.59842919665033,156.77922284861017,1.3187188717817182,9.921453747292132,85.37875914895035,11.050356914271125,311.9904591643544,650.6484375422997
Poland,North Eastern Europe,57.8,18.4,6.8,78.6,52.3086001812639,0.0,31.75379745687933,456.86683971279496,0.1262203626220364,38.734443986095265,14.999519383655267,0.5257001676457731,101.73684304136201,32.85899738352844,263.8111231993813,10.86130630233061,0.13089591883502602,124.94340732184666,113.02036462683533,1.3088314572972872,9.394733630963263,94.04864036104887,7.644009280931104,137.41266178282135,301.13823283380066
Hungary,North Eastern Europe,57.5,21.8,7.0,76.9,70.57436881227555,0.0,36.72894431182673,234.37297063849118,3.6292703525802263,23.040901958256814,7.824990826768345,0.275276705752196,184.74555077308915,20.820475742281072,246.70437303692435,20.6195491065717,0.5644222158523642,166.29582736766335,247.994426286445,6.742876418217755,13.083475990316584,100.24863723897114,25.007250560216267,181.70795419112983,644.7420259815229
Croatia,South Eastern Europe,57.2,16.5,4.8,78.6,104.60815619918942,0.20041569275064114,20.455773884556333,253.49477620169264,2.1028102195459835,18.856404714816602,21.400129507183465,1.4215792056718886,169.7391947290822,17.702988332601972,193.62333560621065,15.318629335387833,0.3428557608288338,138.51277489697367,178.01374116183717,5.428320131574485,11.213325297734594,64.36464455207728,9.852132061565962,156.12190921924565,974.8332034178407
Estonia,North Eastern Europe,56.4,21.7,6.5,78.8,71.81505590529996,0.00957391713747646,19.0683705400861,462.909362779123,0.9243185700834005,21.81864717984935,29.1331379432338,0.1970636602098465,224.252590401534,54.79346158864675,154.457208361582,8.26556339319344,1.85515722423998,126.8431887967445,288.45873921980103,1.7407722558514949,6.904245523944034,104.5315381571155,24.9350950699489,159.3498776466235,785.6159205663159
Czechia,North Eastern Europe,55.4,17.4,7.1,80.0,431.612280912365,0.0,41.2141866746698,11.4453481392557,60.466137454982,19.506431572629,16.3836944777911,0.264105642256903,124.085417166867,32.2457983193277,257.266857743097,9.36028481392558,0.908295318127252,182.987893157263,176.404564825931,0.385030012004802,16.7205912364946,87.1440966386555,20.8955042016807,117.230720288115,1426.87615246098
Slovenia,South Eastern Europe,55.4,17.8,5.8,82.0,96.83905141847046,0.0,17.378675894228003,239.06760144300097,0.3972582972582975,24.747545660173152,15.0120489069264,1.3704511334776355,180.175890069986,32.82678884069265,234.787696637879,14.9249417238817,0.4170519229437235,163.239385696248,148.334800480159,3.479422712842715,16.6291901727994,62.936451587373696,9.779420187373756,152.5717183536795,878.9098638583685
Greece,Southern Europe,54.4,11.8,6.4,81.6,92.31548226578846,0.351770428015564,36.5308384091589,18.54447115384615,0.8849151825800635,11.9768838296917,31.684790893445047,0.0,156.0620492367555,20.3030068093385,186.96553258754852,12.6578573406166,0.044781465130200544,100.53548469769555,199.8922015863515,0.4483864860820115,10.265249700688411,50.4290346827297,13.998178689015255,205.8807360071835,493.9037491768935
Denmark,Northern Europe,54.0,19.2,5.3,81.9,321.711863956183,0.0,32.6210965329189,914.6874725106485,4.262592100693258,18.4971498966847,25.87667602076905,0.0,182.63754199672417,80.6156366403902,203.468227893805,8.70585042985948,0.42358375186048414,121.06852873893816,370.2642660332444,0.3779209604644545,8.549827084814927,121.55982546556952,33.04766805737167,147.64442214716416,897.6201477518448
Sweden,Northern Europe,52.7,17.0,5.0,83.4,143.47817313519568,0.00708382526564345,16.08320875887901,462.85509271604275,220.09286215899002,18.2093619985762,50.51404919021176,0.0177095631641086,155.23905848991993,60.05851930987393,193.57412173761588,10.164270618929677,0.3139804097793945,109.79508638468825,317.0022578186252,5.22128165695263,34.01931298415085,115.55077513348034,12.817194030002412,84.55375598053628,605.7860341172062
Portugal,Southern Europe,52.3,15.6,9.1,82.4,153.401838200286,0.1457923389586617,18.922566700592867,172.778015050567,1.3563134699337738,13.991540674563334,59.75237604945183,2.42022153980206,191.2136172527173,24.421863599657232,186.867416510587,15.393515303558198,0.8012582666193143,124.95650530071303,224.832676528423,10.799679181416451,6.018767572714393,103.17069139705283,16.164123755686067,189.46462451559535,919.4661535914851
Ireland,Central Europe,52.2,19.4,3.0,82.9,196.18209110507306,0.0,25.43988401191223,601.8419784920861,43.6308471819247,17.95643889165847,30.40069897693245,0.00730688935281837,103.40533462694394,41.81311203112485,261.09802889599985,13.69232472608885,0.6383030149058753,156.79481067586335,276.33967074029937,6.827090546086851,20.295169590154035,121.17508874581051,16.997547803153935,133.6462435016298,512.3522964022449
Austria,Central Europe,51.8,17.4,4.6,81.6,166.51640809761417,0.0,17.191351973243115,506.16490339148964,204.7444100504333,8.79567441054877,20.834679329128832,0.0,151.71365833603167,68.20549194498025,256.602565245864,8.533544969638152,0.18539400473162185,88.06163412856715,159.15088739432198,4.772915450025098,24.045274272476302,25.532151809962997,12.393363163818416,106.40595875702526,1147.5043577866477
Serbia,South Eastern Europe,51.8,11.5,9.1,75.4,101.58693336825564,0.0,18.2148326348874,291.951699345207,2.7738767492329575,39.44447215445635,18.674882017511003,3.6882173164708547,166.278925368555,59.93577074010325,252.641635796603,23.93874175709045,0.17222917757988498,150.9319982788295,207.53669371772799,0.935862929731349,12.692299951358251,63.0403760607648,8.891230922697009,227.0959381052155,1159.13523496969
Spain,Southern Europe,50.4,14.7,10.3,84.0,102.71151470626839,0.12855508689696726,25.476702871044182,55.137711731873694,7.560289658666248,20.5228718357027,57.76483506342925,0.021971247229702683,204.49636375915733,46.64164972263685,151.7524337178635,17.740398299535016,0.002146227929253738,115.9503113333578,337.402092443909,15.574581220981663,8.756429918541468,51.28826934618315,10.858565731146527,167.29254494290814,644.1182149752575
Belgium,Central Europe,48.2,15.5,3.6,82.5,176.1827649794635,0.13816587404012112,38.234566086065165,485.3172950170565,139.87339406216532,9.326119788815758,25.907911843374432,0.1811110431076081,149.25507238209082,45.92589966539618,194.72356381476015,7.046268384049696,0.08262402998653427,119.52121393606568,166.45496268525517,6.447023957985542,25.630590144762863,106.42107180489576,19.64994779616657,134.006987962148,728.649288854123
Montenegro,South Eastern Europe,47.0,7.6,9.1,73.8,58.231850314023205,0.0,18.238856974545598,227.9605436497005,3.7256596387545446,39.8303824930877,25.4399091185497,4.365000902638555,124.76460061807,69.0780032566249,255.75236701521152,19.1050750377683,0.06310676313814165,126.74598331781449,224.534971103689,0.2202069892728533,9.647307904263325,66.74149672912284,10.965124359839255,169.87688062367602,728.6270333358665
France,Central Europe,45.4,14.8,5.3,83.1,128.43219097928238,0.10235440403252555,30.13172159306792,409.7261517575096,36.563379757934385,17.53149975414382,36.345467718591856,0.4456172737920665,187.10386103375117,45.957647769471684,211.64038007242482,16.615161906275365,0.31660799778078036,121.74667550038531,225.98028660299033,5.747913805775188,23.1773500922192,76.9175937036012,17.28572069367525,222.4931131941622,883.4670774577982
Italy,Southern Europe,41.3,7.0,6.4,83.8,105.5155958695708,0.07355997871562064,34.644765103080964,152.20547842153533,9.359083199704067,18.73913718847457,41.296143061406866,0.15846841812427437,232.06830496916618,25.675016571347417,242.14469700762115,14.450065429705516,0.3350591802406961,104.85381908718223,194.94271642343017,3.8763968101816633,3.094254907547979,48.536659798787234,17.784591732968117,238.46279796665303,893.4141204747826
