Country,Year,GDP_PC
Albania,2000,3200
Albania,2001,3600
Albania,2002,3800
Albania,2003,4100
Albania,2004,4400
Albania,2005,4800
Albania,2006,5200.0
Albania,2007,5800.0
Albania,2008,6400.0
Albania,2009,6700.0
Albania,2010,7300.0
Albania,2011,7600.0
Albania,2012,7800.0
Albania,2013,7600.0
Albania,2014,8100.0
Albania,2015,8400.0
Albania,2016,8400.0
Albania,2017,8800.0
Albania,2018,9200.0
Albania,2019,9600.0
Albania,2020,9300.0
Albania,2021,10300
Albania,2022,12200
Albania,2023,13700
Austria,2000,24300
Austria,2001,24500
Austria,2002,25400
Austria,2003,26300
Austria,2004,27400
Austria,2005,28500
Austria,2006,29700.0
Austria,2007,30900.0
Austria,2008,31900.0
Austria,2009,30700.0
Austria,2010,31600.0
Austria,2011,32900.0
Austria,2012,34100.0
Austria,2013,34300.0
Austria,2014,34700.0
Austria,2015,35700.0
Austria,2016,36400.0
Austria,2017,37000.0
Austria,2018,38400.0
Austria,2019,39300.0
Austria,2020,37400.0
Austria,2021,40200
Austria,2022,44300
Austria,2023,45700
Belgium,2000,23100
Belgium,2001,23800
Belgium,2002,24800
Belgium,2003,25400
Belgium,2004,26200
Belgium,2005,27200
Belgium,2006,28000.0
Belgium,2007,29100.0
Belgium,2008,29400.0
Belgium,2009,28600.0
Belgium,2010,30200.0
Belgium,2011,30700.0
Belgium,2012,31400.0
Belgium,2013,31700.0
Belgium,2014,32400.0
Belgium,2015,33100.0
Belgium,2016,33600.0
Belgium,2017,34500.0
Belgium,2018,35600.0
Belgium,2019,36900.0
Belgium,2020,35800.0
Belgium,2021,38700
Belgium,2022,42700
Belgium,2023,44900
Bosnia and Herzegovina,2000,:
Bosnia and Herzegovina,2001,:
Bosnia and Herzegovina,2002,:
Bosnia and Herzegovina,2003,:
Bosnia and Herzegovina,2004,:
Bosnia and Herzegovina,2005,5600
Bosnia and Herzegovina,2006,6300.0
Bosnia and Herzegovina,2007,6900.0
Bosnia and Herzegovina,2008,7400.0
Bosnia and Herzegovina,2009,7200.0
Bosnia and Herzegovina,2010,7400.0
Bosnia and Herzegovina,2011,7700.0
Bosnia and Herzegovina,2012,7800.0
Bosnia and Herzegovina,2013,8000.0
Bosnia and Herzegovina,2014,8100.0
Bosnia and Herzegovina,2015,8500.0
Bosnia and Herzegovina,2016,8900.0
Bosnia and Herzegovina,2017,9200.0
Bosnia and Herzegovina,2018,9800.0
Bosnia and Herzegovina,2019,10200.0
Bosnia and Herzegovina,2020,9900.0
Bosnia and Herzegovina,2021,11000
Bosnia and Herzegovina,2022,12400
Bosnia and Herzegovina,2023,13600
Bulgaria,2000,5300
Bulgaria,2001,5800
Bulgaria,2002,6400
Bulgaria,2003,6900
Bulgaria,2004,7500
Bulgaria,2005,8300
Bulgaria,2006,9000.0
Bulgaria,2007,10000.0
Bulgaria,2008,10900.0
Bulgaria,2009,10500.0
Bulgaria,2010,11100.0
Bulgaria,2011,11700.0
Bulgaria,2012,12100.0
Bulgaria,2013,12200.0
Bulgaria,2014,12900.0
Bulgaria,2015,13600.0
Bulgaria,2016,14400.0
Bulgaria,2017,15300.0
Bulgaria,2018,16300.0
Bulgaria,2019,17400.0
Bulgaria,2020,17500.0
Bulgaria,2021,19800
Bulgaria,2022,22500
Bulgaria,2023,24300
Croatia,2000,8900
Croatia,2001,9600
Croatia,2002,10500
Croatia,2003,11200
Croatia,2004,12000
Croatia,2005,12700
