Area,Year,Life Expectancy
Albania,2000,76.2
Albania,2001,76.3
Albania,2002,76.4
Albania,2003,76.6
Albania,2004,76.7
Albania,2005,76.8
Albania,2006,77.0
Albania,2007,77.1
Albania,2008,77.2
Albania,2009,77.4
Albania,2010,77.5
Albania,2011,77.6
Albania,2012,77.8
Albania,2013,77.9
Albania,2014,78.2
Albania,2015,77.9
Albania,2016,78.5
Albania,2017,78.5
Albania,2018,78.9
Albania,2019,79.1
Albania,2020,77.4
Albania,2021,75.5
Albania,2022,79.1
Albania,2023,79.2
Austria,2000,78.3
Austria,2001,78.8
Austria,2002,78.9
Austria,2003,78.8
Austria,2004,79.3
Austria,2005,79.5
Austria,2006,80.1
Austria,2007,80.3
Austria,2008,80.6
Austria,2009,80.5
Austria,2010,80.7
Austria,2011,81.1
Austria,2012,81.1
Austria,2013,81.3
Austria,2014,81.6
Austria,2015,81.3
Austria,2016,81.8
Austria,2017,81.7
Austria,2018,81.8
Austria,2019,82.0
Austria,2020,81.3
Austria,2021,81.3
Austria,2022,81.4
Austria,2023,81.6
Belarus,2000,64.7
Belarus,2001,65.3
Belarus,2002,65.8
Belarus,2003,66.4
Belarus,2004,66.9
Belarus,2005,67.4
Belarus,2006,68.0
Belarus,2007,68.5
Belarus,2008,69.1
Belarus,2009,69.6
Belarus,2010,70.2
Belarus,2011,70.7
Belarus,2012,72.3
Belarus,2013,72.7
Belarus,2014,73.3
Belarus,2015,74.0
Belarus,2016,74.2
Belarus,2017,74.5
Belarus,2018,74.5
Belarus,2019,75.0
Belarus,2020,75.6
Belarus,2021,76.1
Belarus,2022,76.7
Belarus,2023,77.2
Belgium,2000,77.9
Belgium,2001,78.1
Belgium,2002,78.2
Belgium,2003,78.3
Belgium,2004,79.0
Belgium,2005,79.1
Belgium,2006,79.5
Belgium,2007,79.9
Belgium,2008,79.8
Belgium,2009,80.2
Belgium,2010,80.3
Belgium,2011,80.7
Belgium,2012,80.5
Belgium,2013,80.7
Belgium,2014,81.4
Belgium,2015,81.1
Belgium,2016,81.5
Belgium,2017,81.6
Belgium,2018,81.7
Belgium,2019,82.1
Belgium,2020,80.8
Belgium,2021,81.9
Belgium,2022,81.8
Belgium,2023,82.5
Bulgaria,2000,71.6
Bulgaria,2001,71.9
Bulgaria,2002,72.1
Bulgaria,2003,72.3
Bulgaria,2004,72.5
Bulgaria,2005,72.5
Bulgaria,2006,72.7
Bulgaria,2007,73.0
Bulgaria,2008,73.3
Bulgaria,2009,73.7
Bulgaria,2010,73.8
Bulgaria,2011,74.2
Bulgaria,2012,74.4
Bulgaria,2013,74.9
Bulgaria,2014,74.5
Bulgaria,2015,74.7
Bulgaria,2016,74.9
Bulgaria,2017,74.8
Bulgaria,2018,75.0
Bulgaria,2019,75.1
Bulgaria,2020,73.3
Bulgaria,2021,71.2
Bulgaria,2022,74.2
Bulgaria,2023,75.8
Croatia,2000,74.4
Croatia,2001,74.6
Croatia,2002,74.7
Croatia,2003,74.6
Croatia,2004,75.4
Croatia,2005,75.3
Croatia,2006,75.9
Croatia,2007,75.8
Croatia,2008,76.0
Croatia,2009,76.3
Croatia,2010,76.7
Croatia,2011,77.2
Croatia,2012,77.3
Croatia,2013,77.8
Croatia,2014,77.9
Croatia,2015,77.5
Croatia,2016,78.2
Croatia,2017,78.0
Croatia,2018,78.2
Croatia,2019,78.6
Croatia,2020,77.6
Croatia,2021,76.6
Croatia,2022,77.7
Croatia,2023,78.6
Czechia,2000,75.1
Czechia,2001,75.3
Czechia,2002,75.4
Czechia,2003,75.3
Czechia,2004,75.9
Czechia,2005,76.1
Czechia,2006,76.7
Czechia,2007,77.0
Czechia,2008,77.3
Czechia,2009,77.4
Czechia,2010,77.7
Czechia,2011,78.0
Czechia,2012,78.1
Czechia,2013,78.3
Czechia,2014,78.9
Czechia,2015,78.7
Czechia,2016,79.1
Czechia,2017,79.1
Czechia,2018,79.1
Czechia,2019,79.3
Czechia,2020,78.3
Czechia,2021,77.2
Czechia,2022,79.0
Czechia,2023,80.0
Denmark,2000,76.9
Denmark,2001,77.0
Denmark,2002,77.1
Denmark,2003,77.4
Denmark,2004,77.8
Denmark,2005,78.3
Denmark,2006,78.4
Denmark,2007,78.4
Denmark,2008,78.8
Denmark,2009,79.0
Denmark,2010,79.3
Denmark,2011,79.9
Denmark,2012,80.2
Denmark,2013,80.4
Denmark,2014,80.7
Denmark,2015,80.8
Denmark,2016,80.9
Denmark,2017,81.1
Denmark,2018,81.0
Denmark,2019,81.5
Denmark,2020,81.6
Denmark,2021,81.5
Denmark,2022,81.3
Denmark,2023,81.9
Estonia,2000,71.1
Estonia,2001,70.9
Estonia,2002,71.4
Estonia,2003,71.9
Estonia,2004,72.4
Estonia,2005,73.0
Estonia,2006,73.2
Estonia,2007,73.2
Estonia,2008,74.4
Estonia,2009,75.3
Estonia,2010,76.0
Estonia,2011,76.6
Estonia,2012,76.7
Estonia,2013,77.5
Estonia,2014,77.4
Estonia,2015,78.0
Estonia,2016,78.0
Estonia,2017,78.4
Estonia,2018,78.5
Estonia,2019,79.0
Estonia,2020,78.9
Estonia,2021,77.2
Estonia,2022,78.1
Estonia,2023,78.8
Finland,2000,77.8
Finland,2001,78.2
Finland,2002,78.3
Finland,2003,78.6
Finland,2004,79.0
Finland,2005,79.1
Finland,2006,79.5
Finland,2007,79.6
Finland,2008,79.9
Finland,2009,80.1
Finland,2010,80.2
Finland,2011,80.6
Finland,2012,80.7
Finland,2013,81.1
Finland,2014,81.3
Finland,2015,81.6
Finland,2016,81.5
Finland,2017,81.7
Finland,2018,81.8
Finland,2019,82.1
Finland,2020,82.0
Finland,2021,81.9
Finland,2022,81.2
Finland,2023,81.7
France,2000,79.2
France,2001,79.3
France,2002,79.4
France,2003,79.3
France,2004,80.3
France,2005,80.3
France,2006,80.9
France,2007,81.3
France,2008,81.4
France,2009,81.5
France,2010,81.8
France,2011,82.3
France,2012,82.1
France,2013,82.4
France,2014,82.9
France,2015,82.4
France,2016,82.7
France,2017,82.7
France,2018,82.8
France,2019,83.0
France,2020,82.3
France,2021,82.4
France,2022,82.3
France,2023,83.1
Germany,2000,78.3
Germany,2001,78.6
Germany,2002,78.6
Germany,2003,78.6
Germany,2004,79.3
Germany,2005,79.4
Germany,2006,79.9
Germany,2007,80.1
Germany,2008,80.2
Germany,2009,80.3
Germany,2010,80.5
Germany,2011,80.6
Germany,2012,80.7
Germany,2013,80.6
Germany,2014,81.2
Germany,2015,80.7
Germany,2016,81.0
Germany,2017,81.1
Germany,2018,81.0
Germany,2019,81.3
Germany,2020,81.1
Germany,2021,80.8
Germany,2022,80.7
Germany,2023,81.2
Greece,2000,78.6
Greece,2001,79.1
Greece,2002,79.2
Greece,2003,79.3
Greece,2004,79.4
Greece,2005,79.6
Greece,2006,79.9
Greece,2007,79.7
Greece,2008,80.2
Greece,2009,80.4
Greece,2010,80.6
Greece,2011,80.8
Greece,2012,80.7
Greece,2013,81.4
Greece,2014,81.5
Greece,2015,81.1
Greece,2016,81.5
Greece,2017,81.4
Greece,2018,81.9
Greece,2019,81.7
Greece,2020,81.4
Greece,2021,80.2
Greece,2022,80.8
Greece,2023,81.6
Hungary,2000,71.9
Hungary,2001,72.5
Hungary,2002,72.6
Hungary,2003,72.6
Hungary,2004,73.0
Hungary,2005,73.0
Hungary,2006,73.5
Hungary,2007,73.6
Hungary,2008,74.2
Hungary,2009,74.4
Hungary,2010,74.7
Hungary,2011,75.1
Hungary,2012,75.3
Hungary,2013,75.8
Hungary,2014,76.0
Hungary,2015,75.7
Hungary,2016,76.2
