DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Austria,2011,32.62,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Austria,2012,33.62,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Austria,2013,31.79,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Austria,2014,32.88,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Austria,2015,35.57,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Austria,2016,32.98,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Austria,2017,31.77,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Austria,2018,29.76,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Austria,2019,24.65,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Austria,2020,25.44,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Austria,2021,29.74,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Belgium,2011,14.08,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Belgium,2012,15.02,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Belgium,2013,13.51,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Belgium,2014,12.78,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Belgium,2015,12.16,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Belgium,2016,10.75,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Belgium,2017,11.05,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Belgium,2018,10.67,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Belgium,2019,10.62,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Belgium,2020,10.79,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Belgium,2021,9.27,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Bulgaria,2011,21.53,
ESTAT:TPS00137(1.0),25/04/24 23:00:00,Annual,Rate,Females,Total,Diabetes mellitus,Bulgaria,2012,22.96,
