TIME;2000;;2001;;2002;;2003;;2004;;2005;;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;
GEO (Labels);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Belgium;77.9;;78.1;;78.2;;78.3;;79.0;;79.1;;79.5;;79.9;;79.8;;80.2;;80.3;;80.7;b;80.5;;80.7;;81.4;;81.1;;81.5;;81.6;;81.7;;82.1;;80.8;;81.9;;81.8;;82.5;ip
Bulgaria;71.6;;71.9;;72.1;;72.3;;72.5;;72.5;;72.7;;73.0;;73.3;;73.7;;73.8;;74.2;;74.4;;74.9;;74.5;;74.7;;74.9;;74.8;;75.0;;75.1;;73.3;;71.2;;74.2;b;75.8;ip
Czechia;75.1;;75.3;;75.4;;75.3;;75.9;;76.1;;76.7;;77.0;;77.3;;77.4;;77.7;;78.0;;78.1;;78.3;;78.9;;78.7;;79.1;;79.1;;79.1;;79.3;;78.3;;77.2;b;79.0;;80.0;ip
Denmark;76.9;;77.0;;77.1;;77.4;;77.8;;78.3;;78.4;;78.4;;78.8;;79.0;;79.3;;79.9;;80.2;;80.4;;80.7;;80.8;;80.9;;81.1;;81.0;;81.5;;81.6;;81.5;;81.3;;81.9;ip
Germany;78.3;;78.6;;78.6;;78.6;;79.3;;79.4;;79.9;;80.1;;80.2;;80.3;;80.5;;80.6;b;80.7;;80.6;;81.2;;80.7;;81.0;;81.1;;81.0;;81.3;;81.1;;80.8;;80.7;;81.2;ip
Estonia;71.1;;70.9;;71.4;;71.9;;72.4;;73.0;;73.2;;73.2;;74.4;;75.3;;76.0;;76.6;;76.7;;77.5;;77.4;;78.0;b;78.0;;78.4;;78.5;;79.0;;78.9;;77.2;;78.1;;78.8;ip
Ireland;76.6;;77.2;;77.7;;78.2;;78.6;;79.0;;79.3;;79.7;;80.2;;80.2;;80.8;;80.9;;80.9;;81.0;;81.4;;81.5;;81.7;;82.2;;82.2;e;82.8;e;82.5;b;82.3;;82.6;;:;
Greece;78.6;;79.1;;79.2;;79.3;;79.4;;79.6;;79.9;;79.7;;80.2;;80.4;;80.6;;80.8;;80.7;;81.4;;81.5;;81.1;;81.5;;81.4;;81.9;;81.7;;81.4;;80.2;;80.8;;81.6;ip
Spain;79.3;;79.8;;79.8;;79.7;;80.4;;80.3;;81.1;;81.1;;81.5;;81.9;;82.4;;82.6;;82.5;;83.2;;83.3;;83.0;;83.5;;83.4;;83.5;;84.0;;82.3;b;83.3;;83.2;;84.0;ip
France;79.2;;79.3;;79.4;;79.3;;80.3;;80.3;;80.9;;81.3;;81.4;;81.5;;81.8;;82.3;;82.1;b;82.4;;82.9;b;82.4;;82.7;;82.7;;82.8;p;83.0;p;82.3;p;82.4;p;82.3;p;83.1;ip
Croatia;:;;74.6;;74.7;;74.6;;75.4;;75.3;;75.9;;75.8;;76.0;;76.3;;76.7;;77.2;;77.3;;77.8;;77.9;;77.5;;78.2;;78.0;;78.2;;78.6;;77.6;;76.6;;77.7;b;78.6;ip
Italy;79.9;;80.3;;80.4;;80.1;;80.9;;80.9;;81.4;;81.6;;81.7;;81.8;;82.2;;82.4;;82.4;;82.9;;83.2;;82.7;;83.4;;83.1;;83.4;;83.6;b;82.3;;82.7;;82.8;;83.8;ip
Cyprus;77.7;;79.0;;78.7;;79.0;;79.1;;78.7;;80.1;;79.8;;80.6;;81.0;;81.5;;81.2;;81.1;;82.5;;82.3;;81.8;;82.7;;82.2;;82.9;;82.3;;82.4;;81.3;;81.6;;82.5;ip
Latvia;:;;:;;70.2;;70.6;;70.9;;70.6;;70.6;;70.8;;72.1;;72.8;;73.1;;73.9;;74.1;;74.3;;74.5;;74.8;;74.9;;74.9;;75.1;;75.7;;75.5;;73.1;;74.5;;75.9;ip
Lithuania;72.1;;71.6;;71.8;;72.0;;72.0;;71.2;;71.0;;70.7;;71.7;;72.9;;73.3;;73.7;;74.1;;74.1;;74.7;;74.6;;74.9;;75.8;;76.0;;76.5;;75.2;b;74.2;;75.8;;77.3;ip
Luxembourg;78.0;;78.0;;78.1;;77.9;;79.2;;79.6;;79.4;;79.5;;80.7;;80.8;;80.8;;81.1;;81.5;b;81.9;;82.3;;82.4;;82.7;;82.1;b;82.3;;82.7;;82.2;;82.7;;83.0;;83.4;ip
Hungary;71.9;;72.5;;72.6;;72.6;;73.0;;73.0;;73.5;;73.6;;74.2;;74.4;;74.7;;75.1;;75.3;b;75.8;;76.0;;75.7;;76.2;;76.0;;76.2;;76.5;;75.5;b;74.1;;76.0;b;76.9;ip
Malta;78.5;;78.9;b;78.8;;78.7;;79.4;;79.4;;79.5;;79.9;;79.7;;80.4;;81.5;;80.9;;80.9;;81.8;;82.1;;82.0;;82.6;;82.4;;82.3;;82.7;;82.1;;82.3;;82.4;p;83.6;ip
Netherlands;78.2;;78.4;;78.5;;78.7;;79.3;;79.6;;80.0;;80.4;;80.5;;80.9;;81.0;;81.3;;81.2;;81.4;;81.8;;81.6;;81.7;;81.8;;81.9;;82.2;;81.4;;81.4;;81.7;;82.0;ip
Austria;78.3;;78.8;;78.9;;78.8;;79.3;;79.5;;80.1;;80.3;;80.6;;80.5;;80.7;;81.1;;81.1;;81.3;;81.6;;81.3;;81.8;;81.7;;81.8;;82.0;;81.3;;81.3;;81.4;;81.6;ip
Poland;73.8;b;74.2;;74.5;;74.7;;74.9;;75.0;;75.3;;75.4;;75.6;;75.9;;76.4;b;76.8;;76.9;;77.1;;77.8;;77.5;;78.0;;77.8;;77.7;;78.0;;76.4;bep;75.4;bep;77.2;b;78.6;ip
Portugal;76.8;;77.2;;77.4;;77.5;;78.4;;78.2;;79.0;;79.3;;79.5;;79.7;;80.1;;80.7;;80.6;;80.9;;81.3;;81.3;;81.3;;81.6;;81.5;;81.9;;81.5;b;81.5;;81.8;bp;82.4;ip
Romania;71.2;;71.1;;70.9;;71.0;;71.4;;71.9;;72.5;;73.1;;73.5;;73.7;;73.7;;74.4;;74.4;;75.1;;75.0;;74.9;;75.2;;75.2;;75.3;;75.6;e;74.2;e;72.8;e;75.1;e;76.6;ip
Slovenia;76.2;;76.4;;76.6;;76.4;;77.2;;77.5;;78.3;;78.4;;79.1;b;79.4;;79.8;;80.1;;80.3;;80.5;;81.2;;80.9;;81.2;;81.2;;81.5;;81.6;;80.6;;80.7;;81.3;;82.0;ip
Slovakia;73.3;;73.6;;73.8;;73.8;;74.2;;74.1;;74.5;;74.6;;74.9;;75.3;;75.6;;76.1;;76.3;;76.6;;77.0;;76.7;;77.3;;77.3;;77.4;;77.8;;77.0;;74.6;;77.0;;78.1;ip
Finland;77.8;;78.2;;78.3;;78.6;;79.0;;79.1;;79.5;;79.6;;79.9;;80.1;;80.2;;80.6;;80.7;;81.1;;81.3;;81.6;;81.5;;81.7;;81.8;;82.1;;82.0;;81.9;;81.2;;81.7;ip
Sweden;79.8;;79.9;;80.0;;80.3;;80.7;;80.7;;81.0;;81.1;;81.3;;81.5;;81.6;;81.9;;81.8;;82.0;;82.3;;82.2;;82.4;;82.5;;82.6;;83.2;;82.4;;83.1;;83.1;;83.4;ip
Iceland;79.7;;80.7;;80.6;;81.0;;81.1;;81.5;;81.2;;81.5;;81.6;;81.8;;81.9;;82.4;;83.0;;82.1;;82.9;;82.5;;82.2;;82.6;;82.9;;83.2;;83.1;;83.2;;82.1;;82.6;ip
